song,artist,date,rank
Unconditionally,Katy Perry,2014-02-22,68
For The First Time In Forever,Kristen Bell &amp; Idina Menzel,2014-02-22,69
Drink To That All Night,Jerrod Niemann,2014-02-22,70
The Language,Drake,2014-02-22,71
19 You + Me,Dan + Shay,2014-02-22,72
Cop Car,Keith Urban,2014-02-22,73
Goodnight Kiss,Randy Houser,2014-02-22,74
Get Me Some Of That,Thomas Rhett,2014-02-22,75
Do I Wanna Know?,Arctic Monkeys,2014-02-22,76
Everything I Shouldn't Be Thinking About,Thompson Square,2014-02-22,77
Waiting For Superman,Daughtry,2014-02-22,78
Rewind,Rascal Flatts,2014-02-22,79
Na Na,Trey Songz,2014-02-22,80
The Heart Of Dixie,Danielle Bradbery,2014-02-22,81
Ride,SoMo,2014-02-22,82
Odio,Romeo Santos Featuring Drake,2014-02-22,83
Confident,Justin Bieber Featuring Chance The Rapper,2014-02-22,84
They Don't Know,Rico Love,2014-02-22,85
Thinking About You,Calvin Harris Featuring Ayah Marar,2014-02-22,86
The Worst,Jhene Aiko,2014-02-22,87
Partition,Beyonce,2014-02-22,88
Invisible,Hunter Hayes,2014-02-22,89
Human,Christina Perri,2014-02-22,90
Chocolate,The 1975,2014-02-22,91
Midnight Memories,One Direction,2014-02-22,92
On Top Of The World,Imagine Dragons,2014-02-22,93
Oceans (Where Feet May Fail),Hillsong UNITED,2014-02-22,94
Worst Behavior,Drake,2014-02-22,95
Sweet Annie,Zac Brown Band,2014-02-22,96
Beat Of The Music,Brett Eldredge,2014-02-22,97
She Knows,J. Cole Featuring Amber Coffman &amp; The Cults,2014-02-22,98
Up All Night,Jon Pardi,2014-02-22,99
Can't Raise A Man,K. Michelle,2014-02-22,100
Dark Horse,Katy Perry Featuring Juicy J,2014-02-15,1
Drunk In Love,Beyonce Featuring Jay Z,2014-02-15,2
Timber,Pitbull Featuring Ke$ha,2014-02-15,3
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014-02-15,4
Counting Stars,OneRepublic,2014-02-15,5
Let Her Go,Passenger,2014-02-15,6
Say Something,A Great Big World &amp; Christina Aguilera,2014-02-15,7
Happy,Pharrell Williams,2014-02-15,8
Royals,Lorde,2014-02-15,9
Team,Lorde,2014-02-15,10
Pompeii,Bastille,2014-02-15,11
The Monster,Eminem Featuring Rihanna,2014-02-15,12
Radioactive,Imagine Dragons,2014-02-15,13
Story Of My Life,One Direction,2014-02-15,14
Can't Remember To Forget You,Shakira Featuring Rihanna,2014-02-15,15
Burn,Ellie Goulding,2014-02-15,16
All Of Me,John Legend,2014-02-15,17
Demons,Imagine Dragons,2014-02-15,18
Wake Me Up!,Avicii,2014-02-15,19
Roar,Katy Perry,2014-02-15,20
The Man,Aloe Blacc,2014-02-15,21
Show Me,Kid Ink Featuring Chris Brown,2014-02-15,22
Brave,Sara Bareilles,2014-02-15,23
Let It Go,Idina Menzel,2014-02-15,24
Adore You,Miley Cyrus,2014-02-15,25
My Hitta,YG Featuring Jeezy &amp; Rich Homie Quan,2014-02-15,26
Wrecking Ball,Miley Cyrus,2014-02-15,27
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014-02-15,28
White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,2014-02-15,29
Stay The Night,Zedd Featuring Hayley Williams,2014-02-15,30
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014-02-15,31
Sweater Weather,The Neighbourhood,2014-02-15,32
Love Me Again,John Newman,2014-02-15,33
Best Day Of My Life,American Authors,2014-02-15,34
Drink A Beer,Luke Bryan,2014-02-15,35
Do What U Want,Lady Gaga Featuring R. Kelly,2014-02-15,36
Hey Brother,Avicii,2014-02-15,37
Young Girls,Bruno Mars,2014-02-15,38
Whatever She's Got,David Nail,2014-02-15,39
Safe And Sound,Capital Cities,2014-02-15,40
Chillin' It,Cole Swindell,2014-02-15,41
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",2014-02-15,42
Turn Down For What,DJ Snake &amp; Lil Jon,2014-02-15,43
Invisible,Hunter Hayes,2014-02-15,44
Odio,Romeo Santos Featuring Drake,2014-02-15,45
When She Says Baby,Jason Aldean,2014-02-15,46
Sail,AWOLNATION,2014-02-15,47
Animals,Martin Garrix,2014-02-15,48
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2014-02-15,49
XO,Beyonce,2014-02-15,50
Paranoid,Ty Dolla $ign Featuring B.o.B,2014-02-15,51
Friday Night,Eric Paslay,2014-02-15,52
All Me,Drake Featuring 2 Chainz &amp; Big Sean,2014-02-15,53
Let It Go,Demi Lovato,2014-02-15,54
Rap God,Eminem,2014-02-15,55
Compass,Lady Antebellum,2014-02-15,56
Stay,Florida Georgia Line,2014-02-15,57
Bottoms Up,Brantley Gilbert,2014-02-15,58
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn &amp; Katie Lopez",2014-02-15,59
Follow Your Arrow,Kacey Musgraves,2014-02-15,60
Give Me Back My Hometown,Eric Church,2014-02-15,61
Unconditionally,Katy Perry,2014-02-15,62
Doin' What She Likes,Blake Shelton,2014-02-15,63
Neon Lights,Demi Lovato,2014-02-15,64
I Hold On,Dierks Bentley,2014-02-15,65
For The First Time In Forever,Kristen Bell &amp; Idina Menzel,2014-02-15,66
Up Down (Do This All Day),T-Pain Featuring B.o.B,2014-02-15,67
Midnight Memories,One Direction,2014-02-15,68
Confident,Justin Bieber Featuring Chance The Rapper,2014-02-15,69
Partition,Beyonce,2014-02-15,70
See You Tonight,Scotty McCreery,2014-02-15,71
Helluva Life,Frankie Ballard,2014-02-15,72
The Language,Drake,2014-02-15,73
Cop Car,Keith Urban,2014-02-15,74
m.A.A.d City,Kendrick Lamar Featuring MC Eiht,2014-02-15,75
Drink To That All Night,Jerrod Niemann,2014-02-15,76
Up All Night,Jon Pardi,2014-02-15,77
Do I Wanna Know?,Arctic Monkeys,2014-02-15,78
Take Me Home,Cash Cash Featuring Bebe Rexha,2014-02-15,79
Loyal,Chris Brown Featuring Lil Wayne &amp; French Montana Or Too $hort Or Tyga,2014-02-15,80
Love Don't Die,The Fray,2014-02-15,81
Get Me Some Of That,Thomas Rhett,2014-02-15,82
Goodnight Kiss,Randy Houser,2014-02-15,83
Waiting For Superman,Daughtry,2014-02-15,84
19 You + Me,Dan + Shay,2014-02-15,85
Rewind,Rascal Flatts,2014-02-15,86
Sweet Annie,Zac Brown Band,2014-02-15,87
Everything I Shouldn't Be Thinking About,Thompson Square,2014-02-15,88
A Man Who Was Gonna Die Young,Eric Church,2014-02-15,89
Ride,SoMo,2014-02-15,90
The Heart Of Dixie,Danielle Bradbery,2014-02-15,91
Mmm Yeah,Austin Mahone Featuring Pitbull,2014-02-15,92
Thinking About You,Calvin Harris Featuring Ayah Marar,2014-02-15,93
Can't Raise A Man,K. Michelle,2014-02-15,94
Na Na,Trey Songz,2014-02-15,95
She Knows,J. Cole Featuring Amber Coffman &amp; The Cults,2014-02-15,96
They Don't Know,Rico Love,2014-02-15,97
Don't Let Me Be Lonely,The Band Perry,2014-02-15,98
Worst Behavior,Drake,2014-02-15,99
On Top Of The World,Imagine Dragons,2014-02-15,100
Dark Horse,Katy Perry Featuring Juicy J,2014-02-08,1
Timber,Pitbull Featuring Ke$ha,2014-02-08,2
Counting Stars,OneRepublic,2014-02-08,3
Say Something,A Great Big World &amp; Christina Aguilera,2014-02-08,4
The Monster,Eminem Featuring Rihanna,2014-02-08,5
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014-02-08,6
Let Her Go,Passenger,2014-02-08,7
Team,Lorde,2014-02-08,8
Royals,Lorde,2014-02-08,9
Pompeii,Bastille,2014-02-08,10
Happy,Pharrell Williams,2014-02-08,11
Story Of My Life,One Direction,2014-02-08,12
Drunk In Love,Beyonce Featuring Jay Z,2014-02-08,13
Burn,Ellie Goulding,2014-02-08,14
Demons,Imagine Dragons,2014-02-08,15
The Man,Aloe Blacc,2014-02-08,16
Wake Me Up!,Avicii,2014-02-08,17
Roar,Katy Perry,2014-02-08,18
Show Me,Kid Ink Featuring Chris Brown,2014-02-08,19
Wrecking Ball,Miley Cyrus,2014-02-08,20
Let It Go,Idina Menzel,2014-02-08,21
Stay The Night,Zedd Featuring Hayley Williams,2014-02-08,22
Sweater Weather,The Neighbourhood,2014-02-08,23
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014-02-08,24
Do What U Want,Lady Gaga Featuring R. Kelly,2014-02-08,25
Brave,Sara Bareilles,2014-02-08,26
All Of Me,John Legend,2014-02-08,27
White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,2014-02-08,28
My Hitta,YG Featuring Jeezy &amp; Rich Homie Quan,2014-02-08,29
Adore You,Miley Cyrus,2014-02-08,30
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014-02-08,31
Love Me Again,John Newman,2014-02-08,32
Radioactive,Imagine Dragons,2014-02-08,33
Best Day Of My Life,American Authors,2014-02-08,34
Drink A Beer,Luke Bryan,2014-02-08,35
Hey Brother,Avicii,2014-02-08,36
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",2014-02-08,37
Whatever She's Got,David Nail,2014-02-08,38
Safe And Sound,Capital Cities,2014-02-08,39
Chillin' It,Cole Swindell,2014-02-08,40
Turn Down For What,DJ Snake &amp; Lil Jon,2014-02-08,41
Sail,AWOLNATION,2014-02-08,42
When She Says Baby,Jason Aldean,2014-02-08,43
All Me,Drake Featuring 2 Chainz &amp; Big Sean,2014-02-08,44
Stay,Florida Georgia Line,2014-02-08,45
XO,Beyonce,2014-02-08,46
Friday Night,Eric Paslay,2014-02-08,47
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2014-02-08,48
Unconditionally,Katy Perry,2014-02-08,49
Animals,Martin Garrix,2014-02-08,50
Let It Go,Demi Lovato,2014-02-08,51
Paranoid,Ty Dolla $ign Featuring B.o.B,2014-02-08,52
Rap God,Eminem,2014-02-08,53
Young Girls,Bruno Mars,2014-02-08,54
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn &amp; Katie Lopez",2014-02-08,55
Compass,Lady Antebellum,2014-02-08,56
For The First Time In Forever,Kristen Bell &amp; Idina Menzel,2014-02-08,57
Rewind,Rascal Flatts,2014-02-08,58
Bottoms Up,Brantley Gilbert,2014-02-08,59
Mmm Yeah,Austin Mahone Featuring Pitbull,2014-02-08,60
Can't Remember To Forget You,Shakira Featuring Rihanna,2014-02-08,61
Sweet Annie,Zac Brown Band,2014-02-08,62
Up All Night,Jon Pardi,2014-02-08,63
Neon Lights,Demi Lovato,2014-02-08,64
Up Down (Do This All Day),T-Pain Featuring B.o.B,2014-02-08,65
Doin' What She Likes,Blake Shelton,2014-02-08,66
Give Me Back My Hometown,Eric Church,2014-02-08,67
The Language,Drake,2014-02-08,68
Love Don't Die,The Fray,2014-02-08,69
Don't Let Me Be Lonely,The Band Perry,2014-02-08,70
I Hold On,Dierks Bentley,2014-02-08,71
Waiting For Superman,Daughtry,2014-02-08,72
Partition,Beyonce,2014-02-08,73
Drink To That All Night,Jerrod Niemann,2014-02-08,74
See You Tonight,Scotty McCreery,2014-02-08,75
Do I Wanna Know?,Arctic Monkeys,2014-02-08,76
Helluva Life,Frankie Ballard,2014-02-08,77
19 You + Me,Dan + Shay,2014-02-08,78
Get Me Some Of That,Thomas Rhett,2014-02-08,79
Ride,SoMo,2014-02-08,80
Man Of The Year,ScHoolboy Q,2014-02-08,81
The Heart Of Dixie,Danielle Bradbery,2014-02-08,82
Goodnight Kiss,Randy Houser,2014-02-08,83
Loyal,Chris Brown Featuring Lil Wayne &amp; French Montana Or Too $hort Or Tyga,2014-02-08,84
El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,2014-02-08,85
Take Me Home,Cash Cash Featuring Bebe Rexha,2014-02-08,86
Thinking About You,Calvin Harris Featuring Ayah Marar,2014-02-08,87
Invisible,Hunter Hayes,2014-02-08,88
Everything I Shouldn't Be Thinking About,Thompson Square,2014-02-08,89
She Knows,J. Cole Featuring Amber Coffman &amp; The Cults,2014-02-08,90
Na Na,Trey Songz,2014-02-08,91
Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,2014-02-08,92
Worst Behavior,Drake,2014-02-08,93
We Were Us,Keith Urban And Miranda Lambert,2014-02-08,94
Carolina,Parmalee,2014-02-08,95
Chocolate,The 1975,2014-02-08,96
Radio,Darius Rucker,2014-02-08,97
Oceans (Where Feet May Fail),Hillsong UNITED,2014-02-08,98
Marry Me,Jason Derulo,2014-02-08,99
They Don't Know,Rico Love,2014-02-08,100
Timber,Pitbull Featuring Ke$ha,2014-02-01,1
Dark Horse,Katy Perry Featuring Juicy J,2014-02-01,2
Counting Stars,OneRepublic,2014-02-01,3
Say Something,A Great Big World &amp; Christina Aguilera,2014-02-01,4
The Monster,Eminem Featuring Rihanna,2014-02-01,5
Let Her Go,Passenger,2014-02-01,6
Royals,Lorde,2014-02-01,7
Team,Lorde,2014-02-01,8
Story Of My Life,One Direction,2014-02-01,9
Pompeii,Bastille,2014-02-01,10
Wake Me Up!,Avicii,2014-02-01,11
Drunk In Love,Beyonce Featuring Jay Z,2014-02-01,12
Demons,Imagine Dragons,2014-02-01,13
Burn,Ellie Goulding,2014-02-01,14
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014-02-01,15
Roar,Katy Perry,2014-02-01,16
The Man,Aloe Blacc,2014-02-01,17
Wrecking Ball,Miley Cyrus,2014-02-01,18
Do What U Want,Lady Gaga Featuring R. Kelly,2014-02-01,19
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014-02-01,20
Sweater Weather,The Neighbourhood,2014-02-01,21
Stay The Night,Zedd Featuring Hayley Williams,2014-02-01,22
White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,2014-02-01,23
Show Me,Kid Ink Featuring Chris Brown,2014-02-01,24
Happy,Pharrell Williams,2014-02-01,25
Let It Go,Idina Menzel,2014-02-01,26
My Hitta,YG Featuring Jeezy &amp; Rich Homie Quan,2014-02-01,27
Can't Remember To Forget You,Shakira Featuring Rihanna,2014-02-01,28
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",2014-02-01,29
Adore You,Miley Cyrus,2014-02-01,30
Brave,Sara Bareilles,2014-02-01,31
Best Day Of My Life,American Authors,2014-02-01,32
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014-02-01,33
Drink A Beer,Luke Bryan,2014-02-01,34
Love Me Again,John Newman,2014-02-01,35
Safe And Sound,Capital Cities,2014-02-01,36
Hey Brother,Avicii,2014-02-01,37
Chillin' It,Cole Swindell,2014-02-01,38
Whatever She's Got,David Nail,2014-02-01,39
Stay,Florida Georgia Line,2014-02-01,40
Radioactive,Imagine Dragons,2014-02-01,41
Turn Down For What,DJ Snake &amp; Lil Jon,2014-02-01,42
Unconditionally,Katy Perry,2014-02-01,43
All Me,Drake Featuring 2 Chainz &amp; Big Sean,2014-02-01,44
XO,Beyonce,2014-02-01,45
Love More,Chris Brown Featuring Nicki Minaj,2014-02-01,46
Sail,AWOLNATION,2014-02-01,47
Applause,Lady Gaga,2014-02-01,48
All Of Me,John Legend,2014-02-01,49
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2014-02-01,50
Rap God,Eminem,2014-02-01,51
When She Says Baby,Jason Aldean,2014-02-01,52
Animals,Martin Garrix,2014-02-01,53
Sweet Annie,Zac Brown Band,2014-02-01,54
Give Me Back My Hometown,Eric Church,2014-02-01,55
Up All Night,Jon Pardi,2014-02-01,56
Let It Go,Demi Lovato,2014-02-01,57
Wasting All These Tears,Cassadee Pope,2014-02-01,58
Friday Night,Eric Paslay,2014-02-01,59
Don't Let Me Be Lonely,The Band Perry,2014-02-01,60
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn &amp; Katie Lopez",2014-02-01,61
Compass,Lady Antebellum,2014-02-01,62
Drunk Last Night,Eli Young Band,2014-02-01,63
For The First Time In Forever,Kristen Bell &amp; Idina Menzel,2014-02-01,64
Paranoid,Ty Dolla $ign Featuring B.o.B,2014-02-01,65
Up Down (Do This All Day),T-Pain Featuring B.o.B,2014-02-01,66
Bottoms Up,Brantley Gilbert,2014-02-01,67
Young Girls,Bruno Mars,2014-02-01,68
The Language,Drake,2014-02-01,69
Neon Lights,Demi Lovato,2014-02-01,70
Radio,Darius Rucker,2014-02-01,71
Love Don't Die,The Fray,2014-02-01,72
I Luv This Sh*t,August Alsina Featuring Trinidad James,2014-02-01,73
Waiting For Superman,Daughtry,2014-02-01,74
See You Tonight,Scotty McCreery,2014-02-01,75
Helluva Life,Frankie Ballard,2014-02-01,76
I Hold On,Dierks Bentley,2014-02-01,77
Drink To That All Night,Jerrod Niemann,2014-02-01,78
Do I Wanna Know?,Arctic Monkeys,2014-02-01,79
Carolina,Parmalee,2014-02-01,80
19 You + Me,Dan + Shay,2014-02-01,81
Loyal,Chris Brown Featuring Lil Wayne &amp; French Montana Or Too $hort Or Tyga,2014-02-01,82
Rewind,Rascal Flatts,2014-02-01,83
Doin' What She Likes,Blake Shelton,2014-02-01,84
Marry Me,Jason Derulo,2014-02-01,85
Partition,Beyonce,2014-02-01,86
The Heart Of Dixie,Danielle Bradbery,2014-02-01,87
We Were Us,Keith Urban And Miranda Lambert,2014-02-01,88
Ride,SoMo,2014-02-01,89
Get Me Some Of That,Thomas Rhett,2014-02-01,90
Goodnight Kiss,Randy Houser,2014-02-01,91
She Knows,J. Cole Featuring Amber Coffman &amp; The Cults,2014-02-01,92
Thinking About You,Calvin Harris Featuring Ayah Marar,2014-02-01,93
Take Me Home,Cash Cash Featuring Bebe Rexha,2014-02-01,94
Everything I Shouldn't Be Thinking About,Thompson Square,2014-02-01,95
How I Feel,Flo Rida,2014-02-01,96
Alone Together,Fall Out Boy,2014-02-01,97
Worst Behavior,Drake,2014-02-01,98
Oceans (Where Feet May Fail),Hillsong UNITED,2014-02-01,99
All That Matters,Justin Bieber,2014-02-01,100
Timber,Pitbull Featuring Ke$ha,2014-01-25,1
Counting Stars,OneRepublic,2014-01-25,2
The Monster,Eminem Featuring Rihanna,2014-01-25,3
Dark Horse,Katy Perry Featuring Juicy J,2014-01-25,4
Say Something,A Great Big World &amp; Christina Aguilera,2014-01-25,5
Let Her Go,Passenger,2014-01-25,6
Royals,Lorde,2014-01-25,7
Wake Me Up!,Avicii,2014-01-25,8
Demons,Imagine Dragons,2014-01-25,9
Story Of My Life,One Direction,2014-01-25,10
Team,Lorde,2014-01-25,11
Pompeii,Bastille,2014-01-25,12
Roar,Katy Perry,2014-01-25,13
Wrecking Ball,Miley Cyrus,2014-01-25,14
Burn,Ellie Goulding,2014-01-25,15
Drunk In Love,Beyonce Featuring Jay Z,2014-01-25,16
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014-01-25,17
Stay The Night,Zedd Featuring Hayley Williams,2014-01-25,18
Do What U Want,Lady Gaga Featuring R. Kelly,2014-01-25,19
Sweater Weather,The Neighbourhood,2014-01-25,20
Show Me,Kid Ink Featuring Chris Brown,2014-01-25,21
White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,2014-01-25,22
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",2014-01-25,23
The Man,Aloe Blacc,2014-01-25,24
Let It Go,Idina Menzel,2014-01-25,25
Brave,Sara Bareilles,2014-01-25,26
My Hitta,YG Featuring Jeezy &amp; Rich Homie Quan,2014-01-25,27
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014-01-25,28
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014-01-25,29
Safe And Sound,Capital Cities,2014-01-25,30
Radioactive,Imagine Dragons,2014-01-25,31
Unconditionally,Katy Perry,2014-01-25,32
Drink A Beer,Luke Bryan,2014-01-25,33
Adore You,Miley Cyrus,2014-01-25,34
Stay,Florida Georgia Line,2014-01-25,35
Love Me Again,John Newman,2014-01-25,36
Applause,Lady Gaga,2014-01-25,37
Best Day Of My Life,American Authors,2014-01-25,38
Whatever She's Got,David Nail,2014-01-25,39
Love More,Chris Brown Featuring Nicki Minaj,2014-01-25,40
Sail,AWOLNATION,2014-01-25,41
All Me,Drake Featuring 2 Chainz &amp; Big Sean,2014-01-25,42
Holy Grail,Jay Z Featuring Justin Timberlake,2014-01-25,43
Hey Brother,Avicii,2014-01-25,44
Replay,Zendaya,2014-01-25,45
Rap God,Eminem,2014-01-25,46
Gas Pedal,Sage The Gemini Featuring IamSu!,2014-01-25,47
Chillin' It,Cole Swindell,2014-01-25,48
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2014-01-25,49
XO,Beyonce,2014-01-25,50
Turn Down For What,DJ Snake &amp; Lil Jon,2014-01-25,51
Let It Go,Demi Lovato,2014-01-25,52
When She Says Baby,Jason Aldean,2014-01-25,53
All Of Me,John Legend,2014-01-25,54
Sweet Annie,Zac Brown Band,2014-01-25,55
Happy,Pharrell Williams,2014-01-25,56
Wasting All These Tears,Cassadee Pope,2014-01-25,57
Drunk Last Night,Eli Young Band,2014-01-25,58
Animals,Martin Garrix,2014-01-25,59
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn &amp; Katie Lopez",2014-01-25,60
Don't Let Me Be Lonely,The Band Perry,2014-01-25,61
Friday Night,Eric Paslay,2014-01-25,62
Compass,Lady Antebellum,2014-01-25,63
Up All Night,Jon Pardi,2014-01-25,64
For The First Time In Forever,Kristen Bell &amp; Idina Menzel,2014-01-25,65
Radio,Darius Rucker,2014-01-25,66
Carolina,Parmalee,2014-01-25,67
The Language,Drake,2014-01-25,68
Up Down (Do This All Day),T-Pain Featuring B.o.B,2014-01-25,69
Helluva Life,Frankie Ballard,2014-01-25,70
Marry Me,Jason Derulo,2014-01-25,71
I Luv This Sh*t,August Alsina Featuring Trinidad James,2014-01-25,72
Waiting For Superman,Daughtry,2014-01-25,73
Survival,Eminem,2014-01-25,74
Paranoid,Ty Dolla $ign Featuring B.o.B,2014-01-25,75
Young Girls,Bruno Mars,2014-01-25,76
Bottoms Up,Brantley Gilbert,2014-01-25,77
Neon Lights,Demi Lovato,2014-01-25,78
Berzerk,Eminem,2014-01-25,79
We Were Us,Keith Urban And Miranda Lambert,2014-01-25,80
19 You + Me,Dan + Shay,2014-01-25,81
Love Don't Die,The Fray,2014-01-25,82
I Hold On,Dierks Bentley,2014-01-25,83
See You Tonight,Scotty McCreery,2014-01-25,84
Do I Wanna Know?,Arctic Monkeys,2014-01-25,85
Alone Together,Fall Out Boy,2014-01-25,86
Drink To That All Night,Jerrod Niemann,2014-01-25,87
You Sound Good To Me,Lucy Hale,2014-01-25,88
The Heart Of Dixie,Danielle Bradbery,2014-01-25,89
Partition,Beyonce,2014-01-25,90
TKO,Justin Timberlake,2014-01-25,91
All That Matters,Justin Bieber,2014-01-25,92
Goodnight Kiss,Randy Houser,2014-01-25,93
Get Me Some Of That,Thomas Rhett,2014-01-25,94
Give Me Back My Hometown,Eric Church,2014-01-25,95
She Knows,J. Cole Featuring Amber Coffman &amp; The Cults,2014-01-25,96
Sunny And 75,Joe Nichols,2014-01-25,97
How I Feel,Flo Rida,2014-01-25,98
Worst Behavior,Drake,2014-01-25,99
Ride,SoMo,2014-01-25,100
Timber,Pitbull Featuring Ke$ha,2014-01-18,1
Counting Stars,OneRepublic,2014-01-18,2
The Monster,Eminem Featuring Rihanna,2014-01-18,3
Royals,Lorde,2014-01-18,4
Say Something,A Great Big World &amp; Christina Aguilera,2014-01-18,5
Dark Horse,Katy Perry Featuring Juicy J,2014-01-18,6
Let Her Go,Passenger,2014-01-18,7
Wake Me Up!,Avicii,2014-01-18,8
Wrecking Ball,Miley Cyrus,2014-01-18,9
Demons,Imagine Dragons,2014-01-18,10
Roar,Katy Perry,2014-01-18,11
Story Of My Life,One Direction,2014-01-18,12
Burn,Ellie Goulding,2014-01-18,13
